Latitude,longitude
54.59700000000000130739863379858434200286865234375, -5.92999999999999971578290569595992565155029296875
55.2408333300000009558061719872057437896728515625, -6.511666670000000323170752380974590778350830078125
54.34781100000000009231371222995221614837646484375, -6.65627700000000022129142962512560188770294189453125
52.83733749000000301521140499971807003021240234375, -6.88100385999999986097463988699018955230712890625
53.03333281999999826439307071268558502197265625, -9.100000380000000888003341970033943653106689453125
None,None
51.89722199999999929787009023129940032958984375, -8.4700000000000006394884621840901672840118408203125
None,None
51.45027778000000040492523112334311008453369140625, -9.8194444399999998296379999374039471149444580078125
51.8509999999999990905052982270717620849609375, -8.2966999999999995196731106261722743511199951171875
54.47540000000000048885340220294892787933349609375, -8.2837999999999993860910763032734394073486328125
55.383333329999999250503606162965297698974609375, -7.36666666999999986131797413690946996212005615234375
54.63609999999999899955582804977893829345703125, -8.4443999999999999062083588796667754650115966796875
55.01666666999999932841092231683433055877685546875, -8.050000000000000710542735760100185871124267578125
54.3220000000000027284841053187847137451171875, -5.70300000000000029132252166164107620716094970703125
54.1666666699999979073254507966339588165283203125, -6.0833333300000003163177098031155765056610107421875
53.3477777800000012575765140354633331298828125, -6.25972221999999955954763208865188062191009521484375
None,None
54.46666718000000173560692928731441497802734375, -7.8166665999999995761982063413597643375396728515625
53.5, -9.75
53.271944439999998621715349145233631134033203125, -9.04888889000000062878825701773166656494140625
52.13991546999999826539351488463580608367919921875, -10.271530150000000247700882027857005596160888671875
51.9933333299999986820694175548851490020751953125, -9.557222219999999879291863180696964263916015625
53.1577199999999976398612488992512226104736328125, -6.9112799999999996458655004971660673618316650390625
52.6477000000000003865352482534945011138916015625, -7.256099999999999994315658113919198513031005859375
53.03166666999999989684511092491447925567626953125, -7.2102777800000001917624103953130543231964111328125
52.56400000000000005684341886080801486968994140625, -8.78999999999999914734871708787977695465087890625
52.6653000000000020008883439004421234130859375, -8.623799999999999243982529151253402233123779296875
54.99580001999999723238943261094391345977783203125, -7.30740022999999982999952408135868608951568603515625
54.0429400000000015324985724873840808868408203125, -6.18609000000000008867573342286050319671630859375
53.77764721999999864010533201508224010467529296875, -6.41734166999999988689751262427307665348052978515625
53.7595000000000027284841053187847137451171875, -9.658400000000000318323145620524883270263671875
53.7229995699999989255957189016044139862060546875, -6.41699982000000002102524376823566854000091552734375
None,None
53.69436944000000266896677203476428985595703125, -6.47503056000000043468389776535332202911376953125
53.5775000000000005684341886080801486968994140625, -6.6119444400000002559636413934640586376190185546875
54.24792599999999964666130836121737957000732421875, -6.9708249999999996049382389173842966556549072265625
53.0953190000000034842742024920880794525146484375, -7.9155420000000003000195647473447024822235107421875
53.32388888999999920770278549753129482269287109375, -7.9911111100000002949172994703985750675201416015625
None,None
54.2667000000000001591615728102624416351318359375, -8.4832999999999998408384271897375583648681640625
None,None
52.52000045999999855439455132000148296356201171875, -7.88999986999999958214857542770914733409881591796875
52.2566666700000013179305824451148509979248046875, -7.129166670000000038953658076934516429901123046875
54.659000399999996488986653275787830352783203125, -7.3340001099999998501743903034366667270660400390625
52.50206374999999781039150548167526721954345703125, -6.565876010000000206900949706323444843292236328125
53.433300000000002683009370230138301849365234375, -7.95000000000000017763568394002504646778106689453125
53.47699999999999675992512493394315242767333984375, -7.3680000000000003268496584496460855007171630859375
52.85000000000000142108547152020037174224853515625, -6.21666700000000016501644495292566716670989990234375
53.0811004600000018172067939303815364837646484375, -6.38999986999999958214857542770914733409881591796875
53.14168699999999745386958238668739795684814453125, -6.56951499999999999346300683100707828998565673828125
53.01027778000000267866198555566370487213134765625, -6.32749999999999968025576890795491635799407958984375
